idx,maximum_speed,speed_limit,average_speed,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,bike,motorcycle,StrType
20919,54,60,30,1452,7,53,27,7,3,1,0,6,1,0,0,0,11,21,Arterial
38398,56,50,34,954,5,9,1,0,0,1,0,0,0,0,0,0,3,7,Arterial
10394,57,50,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40583,91,50,58,278,2,28,14,0,1,0,0,0,0,0,0,0,22,32,Arterial
20818,93,60,50,248,0,21,3,1,2,0,0,0,1,0,0,0,0,8,Arterial
15443,26,50,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38564,58,50,32,770,1,7,7,2,1,0,0,0,0,0,0,0,13,5,Arterial
22601,76,60,50,269,0,13,0,1,0,0,0,0,0,0,0,0,2,3,Arterial
47514,17,20,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
22555,79,60,48,125,0,1,1,1,0,1,0,0,0,0,0,0,0,1,Arterial
38360,72,50,35,1430,10,60,7,1,0,3,1,2,1,0,0,0,9,28,Arterial
8615,35,50,20,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Council Minor
40618,77,50,54,586,2,42,12,0,0,0,0,0,0,0,0,0,22,7,Arterial
38675,33,25,21,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Council Minor
15463,20,50,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
8496,47,50,27,11,0,0,0,0,0,0,0,0,0,0,0,0,3,2,Council Minor
38553,60,50,39,485,2,18,11,3,0,2,0,0,0,0,0,0,6,18,Arterial
21035,75,60,53,177,0,12,11,4,2,0,1,2,0,0,0,0,17,5,Arterial
14475,16,40,12,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,Council Minor
14334,9,40,7,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,Council Minor
20782,69,60,35,1234,2,57,9,2,2,3,0,0,0,0,0,0,18,14,Arterial
12001,60,50,30,909,2,57,6,2,0,1,1,0,0,0,0,1,7,23,Arterial
14606,14,40,9,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,Council Minor
10698,43,50,33,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
47234,23,20,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40697,76,50,58,111,0,1,3,0,0,0,0,0,0,0,0,0,5,2,Arterial
38747,24,25,19,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
33766,30,50,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Council Minor
